season,round,home,away,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,xg_home,xg_away,actual_home_goals,actual_away_goals,outcome
2022,1,Epping Eastwood FC,West Ryde Rovers FC,1500,1500,0.4980208311420266,0.15121482189609914,0.3507643469618742,3.75,3.25,1,1,0
2022,1,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1500,1500,0.481731987966014,0.2952349322990192,0.22303307973496678,1.25,0.75,5,3,1
2022,1,Macquarie Dragons FC,Ryde Saints United FC,1500,1500,0.4965547562811052,0.17947818518739714,0.3239670585314976,2.75,2.25,2,0,1
2022,1,Eastwood St Andrews FC,North Epping Rangers FC,1500,1500,0.49493418122762123,0.20147308243872059,0.30359273633365813,2.25,1.75,2,0,1
2022,1,Pennant Hills FC,Normanhurst Eagles FC,1500,1500,0.49356241689317865,0.21618296334093265,0.29025461976588873,2.0,1.5,0,1,-1
2022,2,Ryde Saints United FC,West Ryde Rovers FC,1490.8137388221917,1501.3944022908952,0.3712299331268346,0.3067109169896671,0.3220591498834983,1.0542395397993396,0.9600461744863746,1,2,-1
2022,2,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1509.1862611778083,1498.6055977091048,0.6506425916659044,0.1588412002472806,0.19051620808681496,3.035046174486375,1.6792395397993396,2,1,1
2022,2,Hills Hawks FC,Eastwood St Andrews FC,1490.8137388221917,1509.1862611778083,0.27272908652831207,0.1751880450759501,0.5520828683957378,2.033137388221917,2.841862611778083,3,2,1
2022,2,North Epping Rangers FC,Normanhurst Eagles FC,1490.8137388221917,1511.1504998518708,0.2749574424958598,0.2810059155237681,0.4440366419803722,0.9608161948516045,1.3025766622912527,0,3,-1
2022,2,Pennant Hills FC,Macquarie Dragons FC,1488.8495001481292,1509.1862611778083,0.2898487090864492,0.29104760885760383,0.41910368205594695,0.9538717504071601,1.2096203130849035,0,2,-1
2022,3,Epping Eastwood FC,Ryde Saints United FC,1490.6754210534034,1480.0355586082906,0.5788718769395282,0.24823424733664515,0.17289387572382667,1.606608403134655,0.74858640206015,1,3,-1
2022,3,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,1500.347493371898,1517.1164378335097,0.4093837861515487,0.20612572060904702,0.3844904932394043,2.0463205669481397,1.9815719950353308,1,4,-1
2022,3,West Ryde Rovers FC,Pennant Hills FC,1512.1725825047963,1477.2487606827094,0.6633201089842123,0.21702891905660762,0.11965097195917992,1.8185585030498284,0.6170475575562323,2,1,1
2022,3,Hills Hawks FC,Normanhurst Eagles FC,1499.652506628102,1525.7890032361986,0.37296745516274266,0.20666335347231185,0.4203691913649455,1.938548286190286,2.0614894212003625,1,1,0
2022,3,Macquarie Dragons FC,North Epping Rangers FC,1520.787000643228,1476.1752354378639,0.8049332122534134,0.1511034766935926,0.04396331105299397,2.1806481117411067,0.33051260254460746,2,3,-1
2022,4,Pennant Hills FC,Ryde Saints United FC,1470.1375575956936,1492.228127742156,0.41258294496072667,0.24579776804634737,0.34161928699292593,1.5410623007828397,1.381431871711333,1,0,1
2022,4,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1531.679699396627,1526.4497440093494,0.5417653554937827,0.21120606913936885,0.24702857536684864,2.0773901006520816,1.3520761951337104,4,0,1
2022,4,Hills Hawks FC,Macquarie Dragons FC,1498.9917658549512,1509.0031197159287,0.5285852171205602,0.1961921527005853,0.27522263017885457,2.354540363665947,1.6852845446255424,1,4,-1
2022,4,North Epping Rangers FC,West Ryde Rovers FC,1487.9591163651633,1519.2837855918121,0.4067434872530135,0.23601326542662657,0.35724324732035984,1.631838192328294,1.5167654649962938,1,5,-1
2022,5,Epping Eastwood FC,Pennant Hills FC,1478.482851919538,1478.8691945846906,0.4899184647199513,0.2452415419815228,0.2648399932985259,1.636597749867103,1.137318710229788,1,0,1
2022,5,Normanhurst Eagles FC,Eastwood St Andrews FC,1513.7515254714076,1485.7842318087808,0.5648034326720786,0.22856224455289328,0.2066343227750281,1.8219351731796962,1.0071019285201166,0,1,-1
2022,5,Ryde Saints United FC,North Epping Rangers FC,1483.496490753159,1471.7874209108963,0.5107873132514874,0.22141760998485877,0.2677950767636539,1.9293566366892672,1.347298806632843,2,2,0
2022,5,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,1523.5836721521093,1544.3779179345688,0.36225411751168013,0.2123822550014618,0.425363627486858,1.8185469308939979,1.9783910183383135,0,2,-1
2022,5,West Ryde Rovers FC,Hills Hawks FC,1535.455481046079,1484.4112134187706,0.5835887859331512,0.19212824451974075,0.22428296954710794,2.3785575446044103,1.4400763934324556,4,0,1
2022,4,Eastwood St Andrews FC,Epping Eastwood FC,1497.0193364699837,1486.4903958072505,0.5348977368511785,0.24162649253570245,0.22347577061311916,1.6855824181033625,0.9982594387388135,0,3,-1
2022,6,Eastwood St Andrews FC,Macquarie Dragons FC,1482.0316747598263,1512.4343991248722,0.36848116315317175,0.24747251820214436,0.38404631864468386,1.4350270546810537,1.4699129611178843,3,2,1
2022,6,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,1555.527190961806,1545.8924380973642,0.6124166023066807,0.19161465631940947,0.19596874137390985,2.3286913126953275,1.2606891571507541,2,0,1
2022,6,North Epping Rangers FC,Pennant Hills FC,1473.407243445967,1470.8616506969781,0.5059935135969361,0.2277366474662093,0.2662698389368545,1.8436387300489687,1.2818044664889652,1,1,0
2022,6,Hills Hawks FC,Ryde Saints United FC,1473.9742563674854,1481.8766682180883,0.5350408589522822,0.20484463313182374,0.2601145079158942,2.1875342354809213,1.4905214698287808,3,1,1
2022,6,Normanhurst Eagles FC,Epping Eastwood FC,1502.5164208102046,1501.478057517408,0.47050314664733145,0.25664728619128213,0.2728495671613864,1.5145602710895272,1.089210081117313,2,2,0
2022,7,Epping Eastwood FC,North Epping Rangers FC,1502.8113996001634,1472.0361192233818,0.6035075611305536,0.20328297887291805,0.19320945999652842,2.1351358287315705,1.1294983521805009,3,1,1
2022,7,Macquarie Dragons FC,Normanhurst Eagles FC,1503.6734855495565,1501.1830787274491,0.518277582623187,0.2323540018334841,0.2493684155433289,1.7889291315553764,1.171966907163243,5,3,1
2022,7,Pennant Hills FC,Hills Hawks FC,1472.2327749195633,1482.8451424846614,0.4159716605504929,0.2185274715353001,0.365500867914207,1.8686728178631324,1.7437733219111677,1,2,-1
2022,7,West Ryde Rovers FC,Eastwood St Andrews FC,1537.591143533075,1490.792588335142,0.6434321288622015,0.19666623995490867,0.1599016311828899,2.155144143066585,0.9744401908009902,4,2,1
2022,7,Ryde Saints United FC,West Pennant Hills Cherrybrook FC,1473.0057821009123,1563.8284855260952,0.14391013212551548,0.16432876728521464,0.6917611005892699,1.1546811793201952,2.646599487636478,3,3,0
2022,9,Epping Eastwood FC,Hills Hawks FC,1510.348234227936,1492.9404991256,0.5267862652687295,0.19938435741755606,0.2738293773137145,2.291804961034679,1.6326161000795012,2,2,0
2022,9,West Ryde Rovers FC,Macquarie Dragons FC,1544.6513818360736,1512.09100999053,0.5831127567242987,0.19862783599491549,0.2182594072807858,2.252103197149167,1.3266471723276805,4,2,1
2022,9,North Epping Rangers FC,West Pennant Hills Cherrybrook FC,1464.4992845956092,1562.7682514353232,0.17840625652967218,0.1648126021668802,0.6567811413034476,1.4656110615895062,2.8182829770567484,0,3,-1
