match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,1,Epping Eastwood FC,West Ryde Rovers FC,1500.0,1500.0,0.46791,0.15283,0.37927,3.65,3.35,1,1,0
,2022,1,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1500.0,1500.0,0.46791,0.15283,0.37927,3.65,3.35,5,3,1
,2022,1,Macquarie Dragons FC,Ryde Saints United FC,1500.0,1500.0,0.46791,0.15283,0.37927,3.65,3.35,2,0,1
,2022,1,Eastwood St Andrews FC,North Epping Rangers FC,1500.0,1500.0,0.46791,0.15283,0.37927,3.65,3.35,2,0,1
,2022,1,Pennant Hills FC,Normanhurst Eagles FC,1500.0,1500.0,0.46791,0.15283,0.37927,3.65,3.35,0,1,-1
,2022,2,Ryde Saints United FC,West Ryde Rovers FC,1480.89,1502.25,0.33861,0.19175,0.46964,2.07,2.43,1,2,-1
,2022,2,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1519.11,1497.75,0.57211,0.15531,0.27258,3.48,2.52,2,1,1
,2022,2,Hills Hawks FC,Eastwood St Andrews FC,1480.89,1519.11,0.26895,0.1547,0.57636,2.507,3.493,3,2,1
,2022,2,North Epping Rangers FC,Normanhurst Eagles FC,1480.89,1521.89,0.26604,0.18876,0.5452,1.746,2.504,0,3,-1
,2022,2,Pennant Hills FC,Macquarie Dragons FC,1478.11,1519.11,0.26604,0.18876,0.5452,1.746,2.504,0,2,-1
,2022,3,Epping Eastwood FC,Ryde Saints United FC,1482.29,1460.78,0.53489,0.17989,0.28522,2.731,2.019,1,3,-1
,2022,3,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,1499.97,1534.56,0.38106,0.16985,0.4491,2.77,2.98,1,4,-1
,2022,3,West Ryde Rovers FC,Pennant Hills FC,1522.36,1457.03,0.64216,0.16454,0.1933,2.895,1.605,2,1,1
,2022,3,Hills Hawks FC,Normanhurst Eagles FC,1500.03,1548.49,0.3052,0.16594,0.52885,2.468,3.157,1,1,0
,2022,3,Macquarie Dragons FC,North Epping Rangers FC,1540.18,1454.3,0.76862,0.12469,0.10669,3.347,1.278,2,3,-1
