K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,MOV_C1,MOV_C2,USE_ADJ_RATES,brier
30,50,75,0.8,0.001,3.0,True,0.5754519248417114
30,50,75,0.8,0.0005,3.0,True,0.5754528184529409
30,50,75,0.8,0.002,3.0,True,0.5754549745101604
30,50,75,0.8,0.002,2.2,True,0.5754820412336898
30,50,75,0.8,0.001,2.2,True,0.5755953647465237
30,50,75,0.8,0.0005,2.2,True,0.5756618668267381
25,50,75,0.8,0.002,2.2,True,0.5756951449176471
25,50,75,0.8,0.001,2.2,True,0.5757806425010696
30,50,75,0.8,0.002,2.2,False,0.5757846281764706
30,50,75,0.8,0.001,2.2,False,0.575830328102139
25,50,75,0.8,0.0005,2.2,True,0.5758316825983953
25,50,75,0.8,0.0005,3.0,True,0.5758525672385029
25,50,75,0.8,0.001,3.0,True,0.5758580363764705
30,50,75,0.8,0.0005,2.2,False,0.5758621614294116
25,50,75,0.8,0.002,3.0,True,0.5758735026176469
20,50,75,0.8,0.002,2.2,True,0.5760504345406415
20,50,75,0.8,0.001,2.2,True,0.5761126908668451
30,40,75,0.8,0.002,2.2,False,0.5761156763951873
20,50,75,0.8,0.0005,2.2,True,0.5761513543042779
30,40,75,0.8,0.001,2.2,False,0.5761690368401069
30,40,75,0.8,0.002,3.0,True,0.576181476533155
30,40,75,0.8,0.001,3.0,True,0.5761848845090907
30,40,75,0.8,0.0005,3.0,True,0.576188916797326
30,40,75,0.8,0.0005,2.2,False,0.5762022890427805
25,50,75,0.8,0.002,2.2,False,0.5762472217941178
25,50,75,0.8,0.001,2.2,False,0.5762658481582887
25,50,75,0.8,0.0005,2.2,False,0.5762838697326206
30,40,75,0.8,0.002,2.2,True,0.5762948522775403
30,50,75,0.7,0.001,3.0,True,0.5763622078860959
30,50,75,0.7,0.0005,3.0,True,0.5763630822561494
30,50,75,0.7,0.002,3.0,True,0.5763642659395722
20,50,75,0.8,0.0005,3.0,True,0.576367397372727
20,50,75,0.8,0.001,3.0,True,0.576376343457754
20,50,75,0.8,0.002,3.0,True,0.5763964726358286
30,40,75,0.8,0.001,2.2,True,0.5764039164903744
30,50,75,0.7,0.002,2.2,True,0.5764145824561494
30,40,75,0.8,0.0005,2.2,True,0.576466320715508
25,40,75,0.8,0.002,2.2,True,0.5764785102176473
30,50,75,0.7,0.001,2.2,True,0.5765228620149734
25,40,75,0.8,0.002,2.2,False,0.5765391046010698
25,40,75,0.8,0.001,2.2,True,0.5765615431914441
30,50,75,0.8,0.002,1.5,False,0.5765647326572195
25,40,75,0.8,0.001,2.2,False,0.5765666379454544
25,40,75,0.8,0.0005,3.0,True,0.5765706278711232
25,40,75,0.8,0.001,3.0,True,0.5765722628112304
25,40,75,0.8,0.002,3.0,True,0.5765793804550802
30,50,75,0.7,0.0005,2.2,True,0.5765855113550801
25,50,75,0.8,0.002,1.5,False,0.5765867862112299
25,40,75,0.8,0.0005,2.2,False,0.5765874780572193
25,40,75,0.8,0.0005,2.2,True,0.5766105712946528
25,50,75,0.7,0.002,2.2,True,0.5766156751641711
30,50,100,0.8,0.002,1.5,False,0.5766631170064171
30,50,75,0.8,0.0005,3.0,False,0.5766861162636364
25,50,75,0.7,0.001,2.2,True,0.5766971854171123
30,50,75,0.8,0.001,3.0,False,0.5767136549037435
30,50,100,0.8,0.001,1.5,False,0.5767349085983957
25,50,75,0.7,0.0005,3.0,True,0.5767372911122997
25,50,75,0.7,0.001,3.0,True,0.5767419274994652
25,50,75,0.7,0.0005,2.2,True,0.5767468057614973
25,50,75,0.7,0.002,3.0,True,0.576756351089305
30,50,75,0.8,0.002,3.0,False,0.5767720949647055
30,50,100,0.8,0.0005,1.5,False,0.5767871149058821
20,40,75,0.8,0.002,2.2,True,0.5768032468604282
30,50,75,0.7,0.002,2.2,False,0.5768280535647059
30,50,100,0.8,0.001,2.2,True,0.5768313961304816
30,50,100,0.8,0.0005,2.2,True,0.5768336169272728
30,50,100,0.8,0.002,2.2,True,0.5768347738299465
20,50,75,0.8,0.002,1.5,False,0.576841024299465
20,40,75,0.8,0.001,2.2,True,0.5768652514941178
30,50,75,0.7,0.001,2.2,False,0.5768677787459892
20,50,75,0.8,0.001,2.2,False,0.5768873867839569
20,50,75,0.8,0.002,2.2,False,0.5768914368518716
20,50,75,0.8,0.0005,2.2,False,0.5768934005807487
30,50,75,0.7,0.0005,2.2,False,0.5768962449839569
20,40,75,0.8,0.0005,2.2,True,0.5769034850732621
25,50,75,0.8,0.001,1.5,False,0.5769129328299463
30,40,75,0.8,0.0005,3.0,False,0.5769374960139037
30,50,75,0.8,0.001,1.5,False,0.5769468363534757
20,50,75,0.7,0.002,2.2,True,0.576951961402674
30,40,75,0.8,0.001,3.0,False,0.5769582017342245
30,40,75,0.8,0.002,3.0,False,0.5770016658513373
30,50,100,0.8,0.002,1.5,True,0.577005792362032
20,50,75,0.7,0.001,2.2,True,0.577010942842246
25,50,100,0.8,0.002,1.5,False,0.5770142726770053
20,50,75,0.7,0.0005,2.2,True,0.5770475012882351
25,50,100,0.8,0.001,1.5,False,0.5770519697513368
25,40,75,0.8,0.002,1.5,False,0.5770694080732622
20,40,75,0.8,0.0005,3.0,True,0.577070142437433
20,40,75,0.8,0.001,3.0,True,0.577075683753476
30,40,75,0.8,0.002,1.5,False,0.5770772485524064
25,50,100,0.8,0.0005,1.5,False,0.577085839226738
20,40,75,0.8,0.002,3.0,True,0.577091103103743
30,40,75,0.7,0.002,3.0,True,0.5770973894652411
30,40,75,0.7,0.001,3.0,True,0.5771017349668451
30,40,75,0.7,0.0005,3.0,True,0.5771058271016042
25,50,75,0.8,0.0005,1.5,False,0.577110543133155
20,50,75,0.8,0.001,1.5,False,0.5771128554165774
25,50,100,0.8,0.002,1.5,True,0.5771329098625668
20,40,75,0.8,0.002,2.2,False,0.5771424267877006
20,40,75,0.8,0.001,2.2,False,0.5771503915074866
25,50,75,0.8,0.002,1.5,True,0.5771515035074869
20,50,75,0.8,0.002,1.5,True,0.5771583310224598
20,40,75,0.8,0.0005,2.2,False,0.5771607554834225
30,40,75,0.7,0.002,2.2,False,0.5771634869903738
30,50,75,0.8,0.0005,1.5,False,0.5771743415823529
30,50,100,0.8,0.001,1.5,True,0.5771783931299465
25,50,100,0.8,0.0005,2.2,True,0.577186698809091
25,50,100,0.8,0.001,2.2,True,0.5771925136930482
30,40,75,0.7,0.001,2.2,False,0.5772092620160428
25,50,100,0.8,0.002,2.2,True,0.5772104351748665
20,50,75,0.7,0.0005,3.0,True,0.5772175123855613
20,50,75,0.7,0.001,3.0,True,0.5772257476823528
30,40,75,0.7,0.002,2.2,True,0.5772356924754009
30,40,75,0.7,0.0005,2.2,False,0.5772390129855615
20,50,75,0.7,0.002,3.0,True,0.5772442122860963
25,50,100,0.8,0.001,1.5,True,0.5772686554171125
25,50,75,0.7,0.002,2.2,False,0.5772751962577544
20,40,75,0.8,0.002,1.5,False,0.5772782445625667
20,50,75,0.8,0.0005,1.5,False,0.5772824928962564
30,50,100,0.8,0.0005,1.5,True,0.5772826100577542
25,50,75,0.7,0.001,2.2,False,0.5772898460684495
25,50,75,0.7,0.0005,2.2,False,0.5773050071117649
30,50,75,0.8,0.002,1.5,True,0.5773250098176473
30,40,75,0.7,0.001,2.2,True,0.5773382992802139
25,50,75,0.8,0.0005,3.0,False,0.5773534919882352
25,50,100,0.8,0.0005,1.5,True,0.5773545329561497
25,40,75,0.8,0.001,1.5,False,0.5773741985684494
25,50,75,0.8,0.001,3.0,False,0.577387557081818
30,40,75,0.7,0.0005,2.2,True,0.577397961992513
20,50,100,0.8,0.002,1.5,True,0.5774010635930483
25,40,75,0.7,0.002,2.2,True,0.5774082965122994
30,40,75,0.8,0.001,1.5,False,0.5774487838540107
25,50,75,0.8,0.002,3.0,False,0.577457128145989
25,40,75,0.7,0.0005,3.0,True,0.5774623568866307
25,40,75,0.7,0.001,3.0,True,0.5774638859620322
25,40,75,0.7,0.002,3.0,True,0.5774684512508025
25,40,75,0.7,0.001,2.2,True,0.5774870810914439
20,50,75,0.8,0.001,1.5,True,0.5774973468481284
20,50,100,0.8,0.001,1.5,True,0.57750551793262
30,30,75,0.8,0.002,2.2,False,0.5775154511764704
30,50,100,0.8,0.0005,3.0,True,0.5775195590272723
20,40,75,0.8,0.001,1.5,False,0.5775280977673798
25,40,75,0.7,0.0005,2.2,True,0.5775338459540108
25,50,75,0.8,0.001,1.5,True,0.5775432903165774
30,50,100,0.8,0.001,3.0,True,0.5775433453695189
20,50,100,0.8,0.002,1.5,False,0.57754828332246
20,50,100,0.8,0.001,1.5,False,0.5775542905245991
25,40,75,0.8,0.0005,1.5,False,0.5775651100390371
30,30,75,0.8,0.001,2.2,False,0.5775664426294119
30,50,75,0.7,0.002,1.5,False,0.5775670135828878
