match_id,season,round,home_team_id,away_team_id,home_elo_pre,away_elo_pre,prob_win,prob_draw,prob_loss,predicted_xg_home,predicted_xg_away,actual_home_goals,actual_away_goals,actual_outcome
,2022,1,Epping Eastwood FC,West Ryde Rovers FC,1500.0,1500.0,0.49802,0.15121,0.35076,3.75,3.25,1,1,0
,2022,1,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1500.0,1500.0,0.49802,0.15121,0.35076,3.75,3.25,5,3,1
,2022,1,Macquarie Dragons FC,Ryde Saints United FC,1500.0,1500.0,0.49802,0.15121,0.35076,3.75,3.25,2,0,1
,2022,1,Eastwood St Andrews FC,North Epping Rangers FC,1500.0,1500.0,0.49802,0.15121,0.35076,3.75,3.25,2,0,1
,2022,1,Pennant Hills FC,Normanhurst Eagles FC,1500.0,1500.0,0.49802,0.15121,0.35076,3.75,3.25,0,1,-1
,2022,2,Ryde Saints United FC,West Ryde Rovers FC,1493.83,1500.94,0.38997,0.1941,0.41593,2.214,2.286,1,2,-1
,2022,2,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1506.17,1499.06,0.58988,0.15264,0.25748,3.536,2.464,2,1,1
,2022,2,Hills Hawks FC,Eastwood St Andrews FC,1493.83,1506.17,0.32064,0.16179,0.51756,2.688,3.312,3,2,1
,2022,2,North Epping Rangers FC,Normanhurst Eagles FC,1493.83,1507.49,0.3292,0.19723,0.47356,1.932,2.318,0,3,-1
,2022,2,Pennant Hills FC,Macquarie Dragons FC,1492.51,1506.17,0.3292,0.19723,0.47356,1.932,2.318,0,2,-1
,2022,3,Epping Eastwood FC,Ryde Saints United FC,1493.72,1486.63,0.58804,0.16582,0.24614,3.054,2.034,1,3,-1
,2022,3,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,1500.45,1511.51,0.42541,0.161,0.41359,3.222,3.184,1,4,-1
,2022,3,West Ryde Rovers FC,Pennant Hills FC,1508.13,1484.71,0.63015,0.16069,0.20916,3.072,1.82,2,1,1
,2022,3,Hills Hawks FC,Normanhurst Eagles FC,1499.55,1517.33,0.36841,0.16191,0.46968,2.961,3.286,1,1,0
,2022,3,Macquarie Dragons FC,North Epping Rangers FC,1513.97,1483.99,0.79171,0.11195,0.09635,3.645,1.35,2,3,-1
,2022,4,Pennant Hills FC,Ryde Saints United FC,1479.82,1494.57,0.43446,0.17305,0.39249,2.85,2.723,1,0,1
,2022,4,West Pennant Hills Cherrybrook FC,Normanhurst Eagles FC,1521.15,1517.9,0.54257,0.15686,0.30057,3.479,2.698,4,0,1
,2022,4,Hills Hawks FC,Macquarie Dragons FC,1498.97,1506.4,0.49266,0.15239,0.35495,3.695,3.23,1,4,-1
,2022,4,North Epping Rangers FC,West Ryde Rovers FC,1491.56,1513.03,0.42499,0.16496,0.41005,3.082,3.034,1,5,-1
,2022,4,Eastwood St Andrews FC,Epping Eastwood FC,1490.81,1485.78,0.53359,0.16573,0.30068,3.16,2.444,0,3,-1
,2022,5,Epping Eastwood FC,Pennant Hills FC,1495.5,1485.3,0.55536,0.16575,0.27889,3.13,2.289,1,0,1
,2022,5,Normanhurst Eagles FC,Eastwood St Andrews FC,1509.64,1481.1,0.59603,0.15715,0.24682,3.334,2.244,0,1,-1
,2022,5,Ryde Saints United FC,North Epping Rangers FC,1489.09,1480.92,0.51961,0.15589,0.3245,3.542,2.903,2,2,0
,2022,5,Macquarie Dragons FC,West Pennant Hills Cherrybrook FC,1515.86,1529.42,0.38414,0.15297,0.4629,3.369,3.635,0,2,-1
,2022,5,West Ryde Rovers FC,Hills Hawks FC,1523.66,1489.52,0.57603,0.14143,0.28254,4.118,3.091,4,0,1
,2022,6,Eastwood St Andrews FC,Macquarie Dragons FC,1488.25,1508.66,0.38859,0.16693,0.44448,2.89,3.065,3,2,1
,2022,6,West Pennant Hills Cherrybrook FC,West Ryde Rovers FC,1536.61,1530.83,0.60359,0.14046,0.25595,4.054,2.852,2,0,1
,2022,6,North Epping Rangers FC,Pennant Hills FC,1481.9,1480.43,0.49209,0.16221,0.34571,3.296,2.829,1,1,0
,2022,6,Hills Hawks FC,Ryde Saints United FC,1482.35,1488.12,0.52997,0.14854,0.32149,3.862,3.149,3,1,1
,2022,6,Normanhurst Eagles FC,Epping Eastwood FC,1502.49,1500.37,0.47374,0.17352,0.35274,2.904,2.54,2,2,0
,2022,7,Epping Eastwood FC,North Epping Rangers FC,1501.22,1481.06,0.59019,0.14527,0.26455,3.868,2.768,3,1,1
,2022,7,Macquarie Dragons FC,Normanhurst Eagles FC,1503.38,1501.64,0.53352,0.16003,0.30645,3.366,2.644,5,3,1
,2022,7,Pennant Hills FC,Hills Hawks FC,1481.27,1487.87,0.4435,0.15947,0.39703,3.329,3.177,1,2,-1
