K_SETTLED,HFA,ELO_TO_GOAL_RATIO,REGRESSION_FACTOR,brier,logloss,n
25,40,100,0.7,0.5805213500502677,0.9759072896454579,187
20,40,100,0.7,0.580523407053476,0.9756173969110062,187
30,40,100,0.7,0.5807317461037432,0.9765362282053578,187
15,40,100,0.7,0.5807859556385027,0.9757275678904436,187
20,40,90,0.7,0.580846202326738,0.9767454244079184,187
15,40,90,0.7,0.5809769207743314,0.9765305725998574,187
25,40,90,0.7,0.5810020525347596,0.9774218608724243,187
30,40,90,0.7,0.5813865614368984,0.9784915723035497,187
20,30,100,0.7,0.5822716913497331,0.9780635582993819,187
25,30,100,0.7,0.5823091986882352,0.9784166163400205,187
15,30,100,0.7,0.5824895491582884,0.9781053875092933,187
30,30,100,0.7,0.5825582631021391,0.9791110913195877,187
20,30,90,0.7,0.5825671587545448,0.9792133109499223,187
15,30,90,0.7,0.582643744889305,0.9789178345504548,187
15,40,75,0.7,0.5826655195326204,0.9807795817681366,187
25,30,90,0.7,0.5827689004877005,0.9799642841477048,187
20,40,100,0.5,0.5827774876385022,0.9783003710533242,187
25,40,100,0.5,0.582784736731016,0.9785876599846682,187
20,40,75,0.7,0.5828302890866313,0.9818591823573845,187
30,40,100,0.5,0.5829754711251335,0.9791729199097524,187
15,40,100,0.5,0.5829975402192515,0.9783654697476324,187
20,40,90,0.5,0.5831209274042783,0.97932616784695,187
30,30,90,0.7,0.5832000080877006,0.9811140551845272,187
15,40,90,0.5,0.5832163472529411,0.979090887123609,187
25,40,90,0.5,0.58327654263369,0.9799735493883054,187
25,40,75,0.7,0.5833238813951874,0.9835455952364115,187
30,40,90,0.5,0.583630176827273,0.9809658494952204,187
30,40,75,0.7,0.5840806885705879,0.985764772586458,187
15,30,75,0.7,0.584167888660962,0.983054413269005,187
20,30,75,0.7,0.5844080388352941,0.9842494215764425,187
20,30,100,0.5,0.5845566130133689,0.9807322400667637,187
25,30,100,0.5,0.5845939852021395,0.9810676356946275,187
20,20,100,0.7,0.5846163549647058,0.9813437968043487,187
25,20,100,0.7,0.5846951130326202,0.9817719740359512,187
15,30,100,0.5,0.5847424284010694,0.9807439290588373,187
15,20,100,0.7,0.5847902609732619,0.9813096953839233,187
30,30,100,0.5,0.5848119298641714,0.9817008317153204,187
20,30,90,0.5,0.5848759505577539,0.9817663174567244,187
15,40,75,0.5,0.5848906986481286,0.9829498715769361,187
15,30,90,0.5,0.5849305485037434,0.9814713181932943,187
25,30,75,0.7,0.5849685137705879,0.9860496843115264,187
30,20,100,0.7,0.5849771319245989,0.9825352161541016,187
20,20,90,0.7,0.5850054177229945,0.9827169182579814,187
15,20,90,0.7,0.5850294094732623,0.9823289172947125,187
25,30,90,0.5,0.5850676243139038,0.9824716780106756,187
20,40,75,0.5,0.5850709742112299,0.9839742894645529,187
