match_id,season,grade,round_type,round,full_round,match_date,home_team_id,away_team_id,home_goals,away_goals,status
,2022,reserve_grade,regular,1,Round 1,2022-04-02 02:00:00,Epping Eastwood FC,West Ryde Rovers FC,2,0,complete
,2022,reserve_grade,regular,1,Round 1,2022-04-02 02:00:00,West Pennant Hills Cherrybrook FC,Hills Hawks FC,1,0,complete
,2022,first_grade,regular,1,Round 1,2022-04-02 04:00:00,Epping Eastwood FC,West Ryde Rovers FC,1,1,complete
,2022,first_grade,regular,1,Round 1,2022-04-02 04:00:00,West Pennant Hills Cherrybrook FC,Hills Hawks FC,5,3,complete
,2022,reserve_grade,regular,1,Round 1,2022-04-02 06:00:00,Macquarie Dragons FC,Ryde Saints United FC,3,0,complete
,2022,reserve_grade,regular,1,Round 1,2022-04-02 06:00:00,Eastwood St Andrews FC,North Epping Rangers FC,1,1,complete
,2022,reserve_grade,regular,1,Round 1,2022-04-02 06:00:00,Pennant Hills FC,Normanhurst Eagles FC,3,2,complete
,2022,first_grade,regular,1,Round 1,2022-04-02 08:00:00,Macquarie Dragons FC,Ryde Saints United FC,2,0,complete
,2022,first_grade,regular,1,Round 1,2022-04-02 08:00:00,Eastwood St Andrews FC,North Epping Rangers FC,2,0,complete
,2022,first_grade,regular,1,Round 1,2022-04-02 08:00:00,Pennant Hills FC,Normanhurst Eagles FC,0,1,complete
,2022,first_grade,regular,2,Round 2,2022-04-09 03:00:00,Ryde Saints United FC,West Ryde Rovers FC,1,2,complete
,2022,first_grade,regular,2,Round 2,2022-04-09 05:00:00,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,2,1,complete
,2022,first_grade,regular,2,Round 2,2022-04-09 07:00:00,Hills Hawks FC,Eastwood St Andrews FC,3,2,complete
,2022,first_grade,regular,2,Round 2,2022-04-09 07:00:00,North Epping Rangers FC,Normanhurst Eagles FC,0,3,complete
,2022,first_grade,regular,2,Round 2,2022-04-09 09:00:00,Pennant Hills FC,Macquarie Dragons FC,0,2,complete
,2022,reserve_grade,regular,2,Round 2,2022-07-02 05:00:00,Ryde Saints United FC,West Ryde Rovers FC,0,2,complete
,2022,reserve_grade,regular,2,Round 2,2022-07-25 09:45:00,Pennant Hills FC,Macquarie Dragons FC,2,1,complete
,2022,reserve_grade,regular,2,Round 2,2022-07-27 09:30:00,Hills Hawks FC,Eastwood St Andrews FC,2,2,complete
,2022,reserve_grade,regular,2,Round 2,2022-07-28 09:30:00,West Pennant Hills Cherrybrook FC,Epping Eastwood FC,1,1,complete
,2022,reserve_grade,regular,2,Round 2,2022-08-01 08:30:00,North Epping Rangers FC,Normanhurst Eagles FC,0,3,complete
,2022,reserve_grade,regular,3,Round 3,2022-04-23 03:00:00,Epping Eastwood FC,Ryde Saints United FC,2,0,complete
,2022,reserve_grade,regular,3,Round 3,2022-04-23 03:00:00,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,0,6,complete
,2022,reserve_grade,regular,3,Round 3,2022-04-23 03:00:00,West Ryde Rovers FC,Pennant Hills FC,3,1,complete
,2022,reserve_grade,regular,3,Round 3,2022-04-23 03:00:00,Hills Hawks FC,Normanhurst Eagles FC,3,0,complete
,2022,reserve_grade,regular,3,Round 3,2022-04-23 03:00:00,Macquarie Dragons FC,North Epping Rangers FC,4,2,complete
,2022,first_grade,regular,3,Round 3,2022-04-23 05:00:00,Epping Eastwood FC,Ryde Saints United FC,1,3,complete
,2022,first_grade,regular,3,Round 3,2022-04-23 05:00:00,Eastwood St Andrews FC,West Pennant Hills Cherrybrook FC,1,4,complete
,2022,first_grade,regular,3,Round 3,2022-04-23 05:00:00,West Ryde Rovers FC,Pennant Hills FC,2,1,complete
,2022,first_grade,regular,3,Round 3,2022-04-23 05:00:00,Hills Hawks FC,Normanhurst Eagles FC,1,1,complete
,2022,first_grade,regular,3,Round 3,2022-04-23 05:00:00,Macquarie Dragons FC,North Epping Rangers FC,2,3,complete
